epochs,learning_rate,batch_size,activation,optimizer,layers,sliding
10,0.001,32,tanh,rmsprop,8,2
10,0.003,32,tanh,rmsprop,8,2
10,0.01,32,tanh,rmsprop,8,2
10,0.03,32,tanh,rmsprop,8,2
10,0.001,64,tanh,rmsprop,8,2
10,0.003,64,tanh,rmsprop,8,2
10,0.01,64,tanh,rmsprop,8,2
10,0.03,64,tanh,rmsprop,8,2
10,0.001,8,relu,adagrad,8,2
10,0.003,8,relu,adagrad,8,2
10,0.01,8,relu,adagrad,8,2
10,0.03,8,relu,adagrad,8,2
10,0.001,16,relu,adagrad,8,2
10,0.003,16,relu,adagrad,8,2
10,0.01,16,relu,adagrad,8,2
10,0.03,16,relu,adagrad,8,2
10,0.001,32,relu,adagrad,8,2
10,0.003,32,relu,adagrad,8,2
10,0.01,32,relu,adagrad,8,2
10,0.03,32,relu,adagrad,8,2
10,0.001,64,relu,adagrad,8,2
10,0.003,64,relu,adagrad,8,2
10,0.01,64,relu,adagrad,8,2
10,0.03,64,relu,adagrad,8,2
10,0.001,8,sigmoid,adagrad,8,2
10,0.003,8,sigmoid,adagrad,8,2
10,0.01,8,sigmoid,adagrad,8,2
10,0.03,8,sigmoid,adagrad,8,2
10,0.001,16,sigmoid,adagrad,8,2
10,0.003,16,sigmoid,adagrad,8,2
10,0.01,16,sigmoid,adagrad,8,2
10,0.03,16,sigmoid,adagrad,8,2
10,0.001,32,sigmoid,adagrad,8,2
10,0.003,32,sigmoid,adagrad,8,2
10,0.01,32,sigmoid,adagrad,8,2
10,0.03,32,sigmoid,adagrad,8,2
10,0.001,64,sigmoid,adagrad,8,2
10,0.003,64,sigmoid,adagrad,8,2
10,0.01,64,sigmoid,adagrad,8,2
10,0.03,64,sigmoid,adagrad,8,2
10,0.001,8,tanh,adagrad,8,2
10,0.003,8,tanh,adagrad,8,2
10,0.01,8,tanh,adagrad,8,2
10,0.03,8,tanh,adagrad,8,2
10,0.001,16,tanh,adagrad,8,2
10,0.003,16,tanh,adagrad,8,2
10,0.01,16,tanh,adagrad,8,2
10,0.03,16,tanh,adagrad,8,2
10,0.001,32,tanh,adagrad,8,2
10,0.003,32,tanh,adagrad,8,2
10,0.01,32,tanh,adagrad,8,2
10,0.03,32,tanh,adagrad,8,2
10,0.001,64,tanh,adagrad,8,2
10,0.003,64,tanh,adagrad,8,2
10,0.01,64,tanh,adagrad,8,2
10,0.03,64,tanh,adagrad,8,2
10,0.001,8,relu,adam,8,2
10,0.003,8,relu,adam,8,2
10,0.01,8,relu,adam,8,2
10,0.03,8,relu,adam,8,2
10,0.001,16,relu,adam,8,2
10,0.003,16,relu,adam,8,2
10,0.01,16,relu,adam,8,2
10,0.03,16,relu,adam,8,2
10,0.001,32,relu,adam,8,2
10,0.003,32,relu,adam,8,2
10,0.01,32,relu,adam,8,2
10,0.03,32,relu,adam,8,2
10,0.001,64,relu,adam,8,2
10,0.003,64,relu,adam,8,2
10,0.01,64,relu,adam,8,2
10,0.03,64,relu,adam,8,2
10,0.001,8,sigmoid,adam,8,2
10,0.003,8,sigmoid,adam,8,2
10,0.01,8,sigmoid,adam,8,2
10,0.03,8,sigmoid,adam,8,2
10,0.001,16,sigmoid,adam,8,2
10,0.003,16,sigmoid,adam,8,2
10,0.01,16,sigmoid,adam,8,2
10,0.03,16,sigmoid,adam,8,2
10,0.001,32,sigmoid,adam,8,2
10,0.003,32,sigmoid,adam,8,2
10,0.01,32,sigmoid,adam,8,2
10,0.03,32,sigmoid,adam,8,2
10,0.001,64,sigmoid,adam,8,2
10,0.003,64,sigmoid,adam,8,2
10,0.01,64,sigmoid,adam,8,2
10,0.03,64,sigmoid,adam,8,2
10,0.001,8,tanh,adam,8,2
10,0.003,8,tanh,adam,8,2
10,0.01,8,tanh,adam,8,2
10,0.03,8,tanh,adam,8,2
10,0.001,16,tanh,adam,8,2
10,0.003,16,tanh,adam,8,2
10,0.01,16,tanh,adam,8,2
10,0.03,16,tanh,adam,8,2
10,0.001,32,tanh,adam,8,2
10,0.003,32,tanh,adam,8,2
10,0.01,32,tanh,adam,8,2
10,0.03,32,tanh,adam,8,2
10,0.001,64,tanh,adam,8,2
10,0.003,64,tanh,adam,8,2
10,0.01,64,tanh,adam,8,2
10,0.03,64,tanh,adam,8,2
10,0.001,8,relu,rmsprop,8,2
10,0.003,8,relu,rmsprop,8,2
10,0.01,8,relu,rmsprop,8,2
10,0.03,8,relu,rmsprop,8,2
10,0.001,16,relu,rmsprop,8,2
10,0.003,16,relu,rmsprop,8,2
10,0.01,16,relu,rmsprop,8,2
10,0.03,16,relu,rmsprop,8,2
10,0.001,32,relu,rmsprop,8,2
10,0.003,32,relu,rmsprop,8,2
10,0.01,32,relu,rmsprop,8,2
10,0.03,32,relu,rmsprop,8,2
10,0.001,64,relu,rmsprop,8,2
10,0.003,64,relu,rmsprop,8,2
10,0.01,64,relu,rmsprop,8,2
10,0.03,64,relu,rmsprop,8,2
10,0.001,8,sigmoid,rmsprop,8,2
10,0.003,8,sigmoid,rmsprop,8,2
10,0.01,8,sigmoid,rmsprop,8,2
10,0.03,8,sigmoid,rmsprop,8,2
10,0.001,16,sigmoid,rmsprop,8,2
10,0.003,16,sigmoid,rmsprop,8,2
10,0.01,16,sigmoid,rmsprop,8,2
10,0.03,16,sigmoid,rmsprop,8,2
10,0.001,32,sigmoid,rmsprop,8,2
10,0.003,32,sigmoid,rmsprop,8,2
10,0.01,32,sigmoid,rmsprop,8,2
10,0.03,32,sigmoid,rmsprop,8,2
10,0.001,64,sigmoid,rmsprop,8,2
10,0.003,64,sigmoid,rmsprop,8,2
10,0.01,64,sigmoid,rmsprop,8,2
10,0.03,64,sigmoid,rmsprop,8,2
10,0.001,8,tanh,rmsprop,8,2
10,0.003,8,tanh,rmsprop,8,2
10,0.01,8,tanh,rmsprop,8,2
10,0.03,8,tanh,rmsprop,8,2
10,0.001,16,tanh,rmsprop,8,2
10,0.003,16,tanh,rmsprop,8,2
10,0.01,16,tanh,rmsprop,8,2
10,0.03,16,tanh,rmsprop,8,2
10,0.001,32,tanh,rmsprop,8,2
10,0.003,32,tanh,rmsprop,8,2
10,0.01,32,tanh,rmsprop,8,2
10,0.03,32,tanh,rmsprop,8,2
10,0.001,64,tanh,rmsprop,8,2
10,0.003,64,tanh,rmsprop,8,2
10,0.01,64,tanh,rmsprop,8,2
10,0.03,64,tanh,rmsprop,8,2
10,0.001,8,relu,adagrad,8,2
10,0.003,8,relu,adagrad,8,2
10,0.01,8,relu,adagrad,8,2
10,0.03,8,relu,adagrad,8,2
10,0.001,16,relu,adagrad,8,2
10,0.003,16,relu,adagrad,8,2
10,0.01,16,relu,adagrad,8,2
10,0.03,16,relu,adagrad,8,2
10,0.001,32,relu,adagrad,8,2
10,0.003,32,relu,adagrad,8,2
10,0.01,32,relu,adagrad,8,2
10,0.03,32,relu,adagrad,8,2
10,0.001,64,relu,adagrad,8,2
10,0.003,64,relu,adagrad,8,2
10,0.01,64,relu,adagrad,8,2
10,0.03,64,relu,adagrad,8,2
10,0.001,8,sigmoid,adagrad,8,2
10,0.003,8,sigmoid,adagrad,8,2
10,0.01,8,sigmoid,adagrad,8,2
10,0.03,8,sigmoid,adagrad,8,2
10,0.001,16,sigmoid,adagrad,8,2
10,0.003,16,sigmoid,adagrad,8,2
10,0.01,16,sigmoid,adagrad,8,2
10,0.03,16,sigmoid,adagrad,8,2
10,0.001,32,sigmoid,adagrad,8,2
10,0.003,32,sigmoid,adagrad,8,2
10,0.01,32,sigmoid,adagrad,8,2
10,0.03,32,sigmoid,adagrad,8,2
10,0.001,64,sigmoid,adagrad,8,2
10,0.003,64,sigmoid,adagrad,8,2
10,0.01,64,sigmoid,adagrad,8,2
10,0.03,64,sigmoid,adagrad,8,2
10,0.001,8,tanh,adagrad,8,2
10,0.003,8,tanh,adagrad,8,2
10,0.01,8,tanh,adagrad,8,2
10,0.03,8,tanh,adagrad,8,2
10,0.001,16,tanh,adagrad,8,2
10,0.003,16,tanh,adagrad,8,2
10,0.01,16,tanh,adagrad,8,2
10,0.03,16,tanh,adagrad,8,2
10,0.001,32,tanh,adagrad,8,2
10,0.003,32,tanh,adagrad,8,2
10,0.01,32,tanh,adagrad,8,2
10,0.03,32,tanh,adagrad,8,2
10,0.001,64,tanh,adagrad,8,2
10,0.003,64,tanh,adagrad,8,2
10,0.01,64,tanh,adagrad,8,2
10,0.03,64,tanh,adagrad,8,2
10,0.001,8,relu,adam,2,2
10,0.003,8,relu,adam,2,2
10,0.01,8,relu,adam,2,2
10,0.03,8,relu,adam,2,2
10,0.001,16,relu,adam,2,2
10,0.003,16,relu,adam,2,2
10,0.01,16,relu,adam,2,2
10,0.03,16,relu,adam,2,2
10,0.001,32,relu,adam,2,2
10,0.003,32,relu,adam,2,2
10,0.01,32,relu,adam,2,2
10,0.03,32,relu,adam,2,2
10,0.001,64,relu,adam,2,2
10,0.003,64,relu,adam,2,2
10,0.01,64,relu,adam,2,2
10,0.03,64,relu,adam,2,2
10,0.001,8,sigmoid,adam,2,2
10,0.003,8,sigmoid,adam,2,2
10,0.01,8,sigmoid,adam,2,2
10,0.03,8,sigmoid,adam,2,2
10,0.001,16,sigmoid,adam,2,2
10,0.003,16,sigmoid,adam,2,2
10,0.01,16,sigmoid,adam,2,2
10,0.03,16,sigmoid,adam,2,2
10,0.001,32,sigmoid,adam,2,2
10,0.003,32,sigmoid,adam,2,2
10,0.01,32,sigmoid,adam,2,2
10,0.03,32,sigmoid,adam,2,2
10,0.001,64,sigmoid,adam,2,2
10,0.003,64,sigmoid,adam,2,2
10,0.01,64,sigmoid,adam,2,2
10,0.03,64,sigmoid,adam,2,2
10,0.001,8,tanh,adam,2,2
10,0.003,8,tanh,adam,2,2
10,0.01,8,tanh,adam,2,2
10,0.03,8,tanh,adam,2,2
10,0.001,16,tanh,adam,2,2
10,0.003,16,tanh,adam,2,2
10,0.01,16,tanh,adam,2,2
10,0.03,16,tanh,adam,2,2
10,0.001,32,tanh,adam,2,2
10,0.003,32,tanh,adam,2,2
10,0.01,32,tanh,adam,2,2
10,0.03,32,tanh,adam,2,2
10,0.001,64,tanh,adam,2,2
10,0.003,64,tanh,adam,2,2
10,0.01,64,tanh,adam,2,2
10,0.03,64,tanh,adam,2,2
10,0.001,8,relu,rmsprop,2,2
10,0.003,8,relu,rmsprop,2,2
10,0.01,8,relu,rmsprop,2,2
10,0.03,8,relu,rmsprop,2,2
10,0.001,16,relu,rmsprop,2,2
10,0.003,16,relu,rmsprop,2,2
10,0.01,16,relu,rmsprop,2,2
10,0.03,16,relu,rmsprop,2,2
10,0.001,32,relu,rmsprop,2,2
10,0.003,32,relu,rmsprop,2,2
10,0.01,32,relu,rmsprop,2,2
10,0.03,32,relu,rmsprop,2,2
10,0.001,64,relu,rmsprop,2,2
10,0.003,64,relu,rmsprop,2,2
10,0.01,64,relu,rmsprop,2,2
10,0.03,64,relu,rmsprop,2,2
10,0.001,8,sigmoid,rmsprop,2,2
10,0.003,8,sigmoid,rmsprop,2,2
10,0.01,8,sigmoid,rmsprop,2,2
10,0.03,8,sigmoid,rmsprop,2,2
10,0.001,16,sigmoid,rmsprop,2,2
10,0.003,16,sigmoid,rmsprop,2,2
10,0.01,16,sigmoid,rmsprop,2,2
10,0.03,16,sigmoid,rmsprop,2,2
10,0.001,32,sigmoid,rmsprop,2,2
10,0.003,32,sigmoid,rmsprop,2,2
10,0.01,32,sigmoid,rmsprop,2,2
10,0.03,32,sigmoid,rmsprop,2,2
10,0.001,64,sigmoid,rmsprop,2,2
10,0.003,64,sigmoid,rmsprop,2,2
10,0.01,64,sigmoid,rmsprop,2,2
10,0.03,64,sigmoid,rmsprop,2,2
10,0.001,8,tanh,rmsprop,2,2
10,0.003,8,tanh,rmsprop,2,2
10,0.01,8,tanh,rmsprop,2,2
10,0.03,8,tanh,rmsprop,2,2
10,0.001,16,tanh,rmsprop,2,2
10,0.003,16,tanh,rmsprop,2,2
10,0.01,16,tanh,rmsprop,2,2
10,0.03,16,tanh,rmsprop,2,2
10,0.001,32,tanh,rmsprop,2,2
10,0.003,32,tanh,rmsprop,2,2
10,0.01,32,tanh,rmsprop,2,2
10,0.03,32,tanh,rmsprop,2,2
10,0.001,64,tanh,rmsprop,2,2
10,0.003,64,tanh,rmsprop,2,2
10,0.01,64,tanh,rmsprop,2,2
10,0.03,64,tanh,rmsprop,2,2
10,0.001,8,relu,adagrad,2,2
10,0.003,8,relu,adagrad,2,2
10,0.01,8,relu,adagrad,2,2
10,0.03,8,relu,adagrad,2,2
10,0.001,16,relu,adagrad,2,2
10,0.003,16,relu,adagrad,2,2
10,0.01,16,relu,adagrad,2,2
10,0.03,16,relu,adagrad,2,2
10,0.001,32,relu,adagrad,2,2
10,0.003,32,relu,adagrad,2,2
10,0.01,32,relu,adagrad,2,2
10,0.03,32,relu,adagrad,2,2
10,0.001,64,relu,adagrad,2,2
10,0.003,64,relu,adagrad,2,2
10,0.01,64,relu,adagrad,2,2
10,0.03,64,relu,adagrad,2,2
10,0.001,8,sigmoid,adagrad,2,2
10,0.003,8,sigmoid,adagrad,2,2
10,0.01,8,sigmoid,adagrad,2,2
10,0.03,8,sigmoid,adagrad,2,2
10,0.001,16,sigmoid,adagrad,2,2
10,0.003,16,sigmoid,adagrad,2,2
10,0.01,16,sigmoid,adagrad,2,2
10,0.03,16,sigmoid,adagrad,2,2
10,0.001,32,sigmoid,adagrad,2,2
10,0.003,32,sigmoid,adagrad,2,2
10,0.01,32,sigmoid,adagrad,2,2
10,0.03,32,sigmoid,adagrad,2,2
10,0.001,64,sigmoid,adagrad,2,2
10,0.003,64,sigmoid,adagrad,2,2
10,0.01,64,sigmoid,adagrad,2,2
10,0.03,64,sigmoid,adagrad,2,2
10,0.001,8,tanh,adagrad,2,2
10,0.003,8,tanh,adagrad,2,2
10,0.01,8,tanh,adagrad,2,2
10,0.03,8,tanh,adagrad,2,2
10,0.001,16,tanh,adagrad,2,2
10,0.003,16,tanh,adagrad,2,2
10,0.01,16,tanh,adagrad,2,2
10,0.03,16,tanh,adagrad,2,2
10,0.001,32,tanh,adagrad,2,2
10,0.003,32,tanh,adagrad,2,2
10,0.01,32,tanh,adagrad,2,2
10,0.03,32,tanh,adagrad,2,2
10,0.001,64,tanh,adagrad,2,2
10,0.003,64,tanh,adagrad,2,2
10,0.01,64,tanh,adagrad,2,2
10,0.03,64,tanh,adagrad,2,2
10,0.001,8,relu,adam,2,2
10,0.003,8,relu,adam,2,2
10,0.01,8,relu,adam,2,2
10,0.03,8,relu,adam,2,2
10,0.001,16,relu,adam,2,2
10,0.003,16,relu,adam,2,2
10,0.01,16,relu,adam,2,2
10,0.03,16,relu,adam,2,2
10,0.001,32,relu,adam,2,2
10,0.003,32,relu,adam,2,2
10,0.01,32,relu,adam,2,2
10,0.03,32,relu,adam,2,2
10,0.001,64,relu,adam,2,2
10,0.003,64,relu,adam,2,2
10,0.01,64,relu,adam,2,2
10,0.03,64,relu,adam,2,2
10,0.001,8,sigmoid,adam,2,2
10,0.003,8,sigmoid,adam,2,2
10,0.01,8,sigmoid,adam,2,2
10,0.03,8,sigmoid,adam,2,2
10,0.001,16,sigmoid,adam,2,2
10,0.003,16,sigmoid,adam,2,2
10,0.01,16,sigmoid,adam,2,2
10,0.03,16,sigmoid,adam,2,2
10,0.001,32,sigmoid,adam,2,2
10,0.003,32,sigmoid,adam,2,2
10,0.01,32,sigmoid,adam,2,2
10,0.03,32,sigmoid,adam,2,2
10,0.001,64,sigmoid,adam,2,2
10,0.003,64,sigmoid,adam,2,2
10,0.01,64,sigmoid,adam,2,2
10,0.03,64,sigmoid,adam,2,2
10,0.001,8,tanh,adam,2,2
10,0.003,8,tanh,adam,2,2
10,0.01,8,tanh,adam,2,2
10,0.03,8,tanh,adam,2,2
10,0.001,16,tanh,adam,2,2
10,0.003,16,tanh,adam,2,2
10,0.01,16,tanh,adam,2,2
10,0.03,16,tanh,adam,2,2
10,0.001,32,tanh,adam,2,2
10,0.003,32,tanh,adam,2,2
10,0.01,32,tanh,adam,2,2
10,0.03,32,tanh,adam,2,2
10,0.001,64,tanh,adam,2,2
10,0.003,64,tanh,adam,2,2
10,0.01,64,tanh,adam,2,2
10,0.03,64,tanh,adam,2,2
10,0.001,8,relu,rmsprop,2,2
10,0.003,8,relu,rmsprop,2,2
10,0.01,8,relu,rmsprop,2,2
10,0.03,8,relu,rmsprop,2,2
10,0.001,16,relu,rmsprop,2,2
10,0.003,16,relu,rmsprop,2,2
10,0.01,16,relu,rmsprop,2,2
10,0.03,16,relu,rmsprop,2,2
10,0.001,32,relu,rmsprop,2,2
10,0.003,32,relu,rmsprop,2,2
10,0.01,32,relu,rmsprop,2,2
10,0.03,32,relu,rmsprop,2,2
10,0.001,64,relu,rmsprop,2,2
10,0.003,64,relu,rmsprop,2,2
10,0.01,64,relu,rmsprop,2,2
10,0.03,64,relu,rmsprop,2,2
10,0.001,8,sigmoid,rmsprop,2,2
10,0.003,8,sigmoid,rmsprop,2,2
10,0.01,8,sigmoid,rmsprop,2,2
10,0.03,8,sigmoid,rmsprop,2,2
10,0.001,16,sigmoid,rmsprop,2,2
10,0.003,16,sigmoid,rmsprop,2,2
10,0.01,16,sigmoid,rmsprop,2,2
10,0.03,16,sigmoid,rmsprop,2,2
10,0.001,32,sigmoid,rmsprop,2,2
10,0.003,32,sigmoid,rmsprop,2,2
10,0.01,32,sigmoid,rmsprop,2,2
10,0.03,32,sigmoid,rmsprop,2,2
10,0.001,64,sigmoid,rmsprop,2,2
10,0.003,64,sigmoid,rmsprop,2,2
10,0.01,64,sigmoid,rmsprop,2,2
10,0.03,64,sigmoid,rmsprop,2,2
10,0.001,8,tanh,rmsprop,2,2
10,0.003,8,tanh,rmsprop,2,2
10,0.01,8,tanh,rmsprop,2,2
10,0.03,8,tanh,rmsprop,2,2
10,0.001,16,tanh,rmsprop,2,2
10,0.003,16,tanh,rmsprop,2,2
10,0.01,16,tanh,rmsprop,2,2
10,0.03,16,tanh,rmsprop,2,2
10,0.001,32,tanh,rmsprop,2,2
10,0.003,32,tanh,rmsprop,2,2
10,0.01,32,tanh,rmsprop,2,2
10,0.03,32,tanh,rmsprop,2,2
10,0.001,64,tanh,rmsprop,2,2
10,0.003,64,tanh,rmsprop,2,2
10,0.01,64,tanh,rmsprop,2,2
10,0.03,64,tanh,rmsprop,2,2
10,0.001,8,relu,adagrad,2,2
10,0.003,8,relu,adagrad,2,2
10,0.01,8,relu,adagrad,2,2
10,0.03,8,relu,adagrad,2,2
10,0.001,16,relu,adagrad,2,2
10,0.003,16,relu,adagrad,2,2
10,0.01,16,relu,adagrad,2,2
10,0.03,16,relu,adagrad,2,2
10,0.001,32,relu,adagrad,2,2
10,0.003,32,relu,adagrad,2,2
10,0.01,32,relu,adagrad,2,2
10,0.03,32,relu,adagrad,2,2
10,0.001,64,relu,adagrad,2,2
10,0.003,64,relu,adagrad,2,2
10,0.01,64,relu,adagrad,2,2
10,0.03,64,relu,adagrad,2,2
10,0.001,8,sigmoid,adagrad,2,2
10,0.003,8,sigmoid,adagrad,2,2
10,0.01,8,sigmoid,adagrad,2,2
10,0.03,8,sigmoid,adagrad,2,2
10,0.001,16,sigmoid,adagrad,2,2
10,0.003,16,sigmoid,adagrad,2,2
10,0.01,16,sigmoid,adagrad,2,2
10,0.03,16,sigmoid,adagrad,2,2
10,0.001,32,sigmoid,adagrad,2,2
10,0.003,32,sigmoid,adagrad,2,2
10,0.01,32,sigmoid,adagrad,2,2
10,0.03,32,sigmoid,adagrad,2,2
10,0.001,64,sigmoid,adagrad,2,2
10,0.003,64,sigmoid,adagrad,2,2
10,0.01,64,sigmoid,adagrad,2,2
10,0.03,64,sigmoid,adagrad,2,2
10,0.001,8,tanh,adagrad,2,2
10,0.003,8,tanh,adagrad,2,2
10,0.01,8,tanh,adagrad,2,2
10,0.03,8,tanh,adagrad,2,2
10,0.001,16,tanh,adagrad,2,2
10,0.003,16,tanh,adagrad,2,2
10,0.01,16,tanh,adagrad,2,2
10,0.03,16,tanh,adagrad,2,2
10,0.001,32,tanh,adagrad,2,2
10,0.003,32,tanh,adagrad,2,2
10,0.01,32,tanh,adagrad,2,2
10,0.03,32,tanh,adagrad,2,2
10,0.001,64,tanh,adagrad,2,2
10,0.003,64,tanh,adagrad,2,2
10,0.01,64,tanh,adagrad,2,2
10,0.03,64,tanh,adagrad,2,2
10,0.001,8,relu,adam,8,3
10,0.003,8,relu,adam,8,3
10,0.01,8,relu,adam,8,3
10,0.03,8,relu,adam,8,3
10,0.001,16,relu,adam,8,3
10,0.003,16,relu,adam,8,3
10,0.01,16,relu,adam,8,3
10,0.03,16,relu,adam,8,3
10,0.001,32,relu,adam,8,3
10,0.003,32,relu,adam,8,3
10,0.01,32,relu,adam,8,3
10,0.03,32,relu,adam,8,3
10,0.001,64,relu,adam,8,3
10,0.003,64,relu,adam,8,3
10,0.01,64,relu,adam,8,3
10,0.03,64,relu,adam,8,3
10,0.001,8,sigmoid,adam,8,3
10,0.003,8,sigmoid,adam,8,3
10,0.01,8,sigmoid,adam,8,3
10,0.03,8,sigmoid,adam,8,3
10,0.001,16,sigmoid,adam,8,3
10,0.003,16,sigmoid,adam,8,3
10,0.01,16,sigmoid,adam,8,3
10,0.03,16,sigmoid,adam,8,3
10,0.001,32,sigmoid,adam,8,3
10,0.003,32,sigmoid,adam,8,3
10,0.01,32,sigmoid,adam,8,3
10,0.03,32,sigmoid,adam,8,3
10,0.001,64,sigmoid,adam,8,3
10,0.003,64,sigmoid,adam,8,3
10,0.01,64,sigmoid,adam,8,3
10,0.03,64,sigmoid,adam,8,3
10,0.001,8,tanh,adam,8,3
10,0.003,8,tanh,adam,8,3
10,0.01,8,tanh,adam,8,3
10,0.03,8,tanh,adam,8,3
10,0.001,16,tanh,adam,8,3
10,0.003,16,tanh,adam,8,3
10,0.01,16,tanh,adam,8,3
10,0.03,16,tanh,adam,8,3
10,0.001,32,tanh,adam,8,3
10,0.003,32,tanh,adam,8,3
10,0.01,32,tanh,adam,8,3
10,0.03,32,tanh,adam,8,3
10,0.001,64,tanh,adam,8,3
10,0.003,64,tanh,adam,8,3
10,0.01,64,tanh,adam,8,3
10,0.03,64,tanh,adam,8,3
10,0.001,8,relu,rmsprop,8,3
10,0.003,8,relu,rmsprop,8,3
10,0.01,8,relu,rmsprop,8,3
10,0.03,8,relu,rmsprop,8,3
10,0.001,16,relu,rmsprop,8,3
10,0.003,16,relu,rmsprop,8,3
10,0.01,16,relu,rmsprop,8,3
10,0.03,16,relu,rmsprop,8,3
10,0.001,32,relu,rmsprop,8,3
10,0.003,32,relu,rmsprop,8,3
10,0.01,32,relu,rmsprop,8,3
10,0.03,32,relu,rmsprop,8,3
10,0.001,64,relu,rmsprop,8,3
10,0.003,64,relu,rmsprop,8,3
10,0.01,64,relu,rmsprop,8,3
10,0.03,64,relu,rmsprop,8,3
10,0.001,8,sigmoid,rmsprop,8,3
10,0.003,8,sigmoid,rmsprop,8,3
10,0.01,8,sigmoid,rmsprop,8,3
10,0.03,8,sigmoid,rmsprop,8,3
10,0.001,16,sigmoid,rmsprop,8,3
10,0.003,16,sigmoid,rmsprop,8,3
10,0.01,16,sigmoid,rmsprop,8,3
10,0.03,16,sigmoid,rmsprop,8,3
10,0.001,32,sigmoid,rmsprop,8,3
10,0.003,32,sigmoid,rmsprop,8,3
10,0.01,32,sigmoid,rmsprop,8,3
10,0.03,32,sigmoid,rmsprop,8,3
10,0.001,64,sigmoid,rmsprop,8,3
10,0.003,64,sigmoid,rmsprop,8,3
10,0.01,64,sigmoid,rmsprop,8,3
10,0.03,64,sigmoid,rmsprop,8,3
10,0.001,8,tanh,rmsprop,8,3
10,0.003,8,tanh,rmsprop,8,3
10,0.01,8,tanh,rmsprop,8,3
10,0.03,8,tanh,rmsprop,8,3
10,0.001,16,tanh,rmsprop,8,3
10,0.003,16,tanh,rmsprop,8,3
10,0.01,16,tanh,rmsprop,8,3
10,0.03,16,tanh,rmsprop,8,3
10,0.001,32,tanh,rmsprop,8,3
10,0.003,32,tanh,rmsprop,8,3
10,0.01,32,tanh,rmsprop,8,3
10,0.03,32,tanh,rmsprop,8,3
10,0.001,64,tanh,rmsprop,8,3
10,0.003,64,tanh,rmsprop,8,3
10,0.01,64,tanh,rmsprop,8,3
10,0.03,64,tanh,rmsprop,8,3
10,0.001,8,relu,adagrad,8,3
10,0.003,8,relu,adagrad,8,3
10,0.01,8,relu,adagrad,8,3
10,0.03,8,relu,adagrad,8,3
10,0.001,16,relu,adagrad,8,3
10,0.003,16,relu,adagrad,8,3
10,0.01,16,relu,adagrad,8,3
10,0.03,16,relu,adagrad,8,3
10,0.001,32,relu,adagrad,8,3
10,0.003,32,relu,adagrad,8,3
10,0.01,32,relu,adagrad,8,3
10,0.03,32,relu,adagrad,8,3
10,0.001,64,relu,adagrad,8,3
10,0.003,64,relu,adagrad,8,3
10,0.01,64,relu,adagrad,8,3
10,0.03,64,relu,adagrad,8,3
10,0.001,8,sigmoid,adagrad,8,3
10,0.003,8,sigmoid,adagrad,8,3
10,0.01,8,sigmoid,adagrad,8,3
10,0.03,8,sigmoid,adagrad,8,3
10,0.001,16,sigmoid,adagrad,8,3
10,0.003,16,sigmoid,adagrad,8,3
10,0.01,16,sigmoid,adagrad,8,3
10,0.03,16,sigmoid,adagrad,8,3
10,0.001,32,sigmoid,adagrad,8,3
10,0.003,32,sigmoid,adagrad,8,3
10,0.01,32,sigmoid,adagrad,8,3
10,0.03,32,sigmoid,adagrad,8,3
10,0.001,64,sigmoid,adagrad,8,3
10,0.003,64,sigmoid,adagrad,8,3
10,0.01,64,sigmoid,adagrad,8,3
10,0.03,64,sigmoid,adagrad,8,3
10,0.001,8,tanh,adagrad,8,3
10,0.003,8,tanh,adagrad,8,3
10,0.01,8,tanh,adagrad,8,3
10,0.03,8,tanh,adagrad,8,3
10,0.001,16,tanh,adagrad,8,3
10,0.003,16,tanh,adagrad,8,3
10,0.01,16,tanh,adagrad,8,3
10,0.03,16,tanh,adagrad,8,3
10,0.001,32,tanh,adagrad,8,3
10,0.003,32,tanh,adagrad,8,3
10,0.01,32,tanh,adagrad,8,3
10,0.03,32,tanh,adagrad,8,3
10,0.001,64,tanh,adagrad,8,3
10,0.003,64,tanh,adagrad,8,3
10,0.01,64,tanh,adagrad,8,3
10,0.03,64,tanh,adagrad,8,3
10,0.001,8,relu,adam,8,3
10,0.003,8,relu,adam,8,3
10,0.01,8,relu,adam,8,3
10,0.03,8,relu,adam,8,3
10,0.001,16,relu,adam,8,3
10,0.003,16,relu,adam,8,3
10,0.01,16,relu,adam,8,3
10,0.03,16,relu,adam,8,3
10,0.001,32,relu,adam,8,3
10,0.003,32,relu,adam,8,3
10,0.01,32,relu,adam,8,3
10,0.03,32,relu,adam,8,3
10,0.001,64,relu,adam,8,3
10,0.003,64,relu,adam,8,3
10,0.01,64,relu,adam,8,3
10,0.03,64,relu,adam,8,3
10,0.001,8,sigmoid,adam,8,3
10,0.003,8,sigmoid,adam,8,3
10,0.01,8,sigmoid,adam,8,3
10,0.03,8,sigmoid,adam,8,3
10,0.001,16,sigmoid,adam,8,3
10,0.003,16,sigmoid,adam,8,3
10,0.01,16,sigmoid,adam,8,3
10,0.03,16,sigmoid,adam,8,3
10,0.001,32,sigmoid,adam,8,3
10,0.003,32,sigmoid,adam,8,3
10,0.01,32,sigmoid,adam,8,3
10,0.03,32,sigmoid,adam,8,3
10,0.001,64,sigmoid,adam,8,3
10,0.003,64,sigmoid,adam,8,3
10,0.01,64,sigmoid,adam,8,3
10,0.03,64,sigmoid,adam,8,3
10,0.001,8,tanh,adam,8,3
10,0.003,8,tanh,adam,8,3
